,OpenTime,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Volume,CloseTime,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
0,2022-01-21 10:00:00,40680.92000000,40992.37000000,40404.00000000,40918.05000000,2265.92504000,2022-01-21 10:29:59.999,92076891.77891230,50056,1185.89455000,48224947.40707330,0
1,2022-01-21 10:30:00,40925.32000000,41100.00000000,40808.08000000,40894.80000000,981.42124000,2022-01-21 10:59:59.999,40189125.61809050,28723,407.69916000,16695960.35084800,0
2,2022-01-21 11:00:00,40894.81000000,40929.76000000,40636.16000000,40709.99000000,784.58907000,2022-01-21 11:29:59.999,31980098.86765500,23451,366.28882000,14926873.70934860,0
3,2022-01-21 11:30:00,40709.98000000,40709.99000000,39730.00000000,39762.99000000,3387.76278000,2022-01-21 11:59:59.999,135666715.10122730,79757,1269.31337000,50803944.11079290,0
4,2022-01-21 12:00:00,39763.00000000,40280.00000000,39267.86000000,40169.75000000,3165.57770700,2022-01-21 12:29:59.999,125842305.52672926,76502,1470.05759000,58506565.03221643,0
5,2022-01-21 12:30:00,40169.75000000,40180.23000000,39733.18000000,39830.52000000,1188.88046000,2022-01-21 12:59:59.999,47462797.00817010,32515,544.16454000,21726784.84326500,0
6,2022-01-21 13:00:00,39835.99000000,39944.45000000,38780.00000000,38959.19000000,3662.64122800,2022-01-21 13:29:59.999,143892111.52786067,72880,1331.28770400,52382207.72771374,0
7,2022-01-21 13:30:00,38959.19000000,39000.00000000,38220.00000000,38465.65000000,5846.18222700,2022-01-21 13:59:59.999,225571096.19715285,109255,2733.57100300,105502094.99887691,0
8,2022-01-21 14:00:00,38465.65000000,38867.97000000,38437.15000000,38788.99000000,1744.87831000,2022-01-21 14:29:59.999,67605755.03888790,38052,877.75748000,34006223.84083410,0
9,2022-01-21 14:30:00,38788.99000000,39070.00000000,38665.01000000,38842.03000000,1346.54234000,2022-01-21 14:59:59.999,52321717.93960580,29596,718.10360000,27906506.71391120,0
10,2022-01-21 15:00:00,38842.03000000,38980.44000000,38700.19000000,38792.00000000,1622.79400000,2022-01-21 15:29:59.999,62965042.96432510,30727,803.03044000,31159789.42008810,0
11,2022-01-21 15:30:00,38792.00000000,38998.00000000,38733.35000000,38909.01000000,1035.86559000,2022-01-21 15:59:59.999,40277401.77538620,25696,497.48440000,19350192.71871370,0
